time,total_m3
2023-01-23 10:05:10+00:00,340.256
2023-01-23 10:05:22+00:00,340.256
2023-01-23 10:05:34+00:00,340.256
2023-01-23 10:05:46+00:00,340.256
2023-01-23 10:05:57+00:00,340.256
2023-01-23 10:06:09+00:00,340.256
2023-01-23 10:06:11+00:00,340.256
2023-01-23 10:06:33+00:00,340.256
2023-01-23 10:06:45+00:00,340.256
2023-01-23 10:06:57+00:00,340.256
2023-01-23 10:07:09+00:00,340.256
2023-01-23 10:07:21+00:00,340.256
2023-01-23 10:07:33+00:00,340.256
2023-01-23 10:07:45+00:00,340.256
2023-01-23 10:07:56+00:00,340.256
2023-01-23 10:08:08+00:00,340.256
2023-01-23 10:08:20+00:00,340.256
2023-01-23 10:08:32+00:00,340.256
2023-01-23 10:08:44+00:00,340.256
2023-01-23 10:08:56+00:00,340.256
2023-01-23 10:09:08+00:00,340.256
2023-01-23 10:09:20+00:00,340.256
2023-01-23 10:09:32+00:00,340.256
2023-01-23 10:09:44+00:00,340.256
2023-01-23 10:09:56+00:00,340.256
2023-01-23 10:10:08+00:00,340.257
2023-01-23 10:10:20+00:00,340.25899999999996
2023-01-23 10:10:31+00:00,340.26099999999997
2023-01-23 10:10:43+00:00,340.262
2023-01-23 10:10:55+00:00,340.262
2023-01-23 10:11:07+00:00,340.262
2023-01-23 10:11:19+00:00,340.262
2023-01-23 10:11:31+00:00,340.262
2023-01-23 10:11:43+00:00,340.262
2023-01-23 10:11:54+00:00,340.262
2023-01-23 10:12:06+00:00,340.262
2023-01-23 10:12:18+00:00,340.262
2023-01-23 10:12:30+00:00,340.262
2023-01-23 10:12:42+00:00,340.262
2023-01-23 10:12:54+00:00,340.262
2023-01-23 10:13:05+00:00,340.262
2023-01-23 10:13:17+00:00,340.262
2023-01-23 10:13:29+00:00,340.262
2023-01-23 10:13:41+00:00,340.262
2023-01-23 10:13:53+00:00,340.262
2023-01-23 10:14:16+00:00,340.262
2023-01-23 10:14:28+00:00,340.262
2023-01-23 10:14:40+00:00,340.262
2023-01-23 10:15:04+00:00,340.262
