activity,note,additional_note
2022-12-08 13:17:00+01:00,toilet flush,BAD EG
2022-12-08 13:23:00+01:00,toilet flush,BAD EG
2022-12-08 13:29:00+01:00,toilet flush,BAD EG
2022-12-08 13:35:00+01:00,toilet flush,BAD EG
2022-12-08 13:41:00+01:00,toilet flush,BAD EG
2022-12-08 13:47:00+01:00,toilet flush,WC EG
2022-12-08 13:53:00+01:00,toilet flush,WC EG
