time,total_m3
2022-12-08 12:12:01+00:00,486.30600000000004
2022-12-08 12:12:13+00:00,486.30600000000004
2022-12-08 12:12:25+00:00,486.30600000000004
2022-12-08 12:12:37+00:00,486.30600000000004
2022-12-08 12:12:49+00:00,486.30600000000004
2022-12-08 12:13:01+00:00,486.30600000000004
2022-12-08 12:13:13+00:00,486.30600000000004
2022-12-08 12:13:25+00:00,486.30600000000004
2022-12-08 12:13:36+00:00,486.30600000000004
2022-12-08 12:13:49+00:00,486.30600000000004
2022-12-08 12:14:12+00:00,486.30600000000004
2022-12-08 12:14:24+00:00,486.30600000000004
2022-12-08 12:14:36+00:00,486.30600000000004
2022-12-08 12:14:48+00:00,486.30600000000004
2022-12-08 12:15:00+00:00,486.30600000000004
2022-12-08 12:15:12+00:00,486.30600000000004
2022-12-08 12:15:23+00:00,486.30600000000004
2022-12-08 12:15:36+00:00,486.30600000000004
2022-12-08 12:15:47+00:00,486.30600000000004
2022-12-08 12:15:59+00:00,486.30600000000004
2022-12-08 12:16:11+00:00,486.30600000000004
2022-12-08 12:16:23+00:00,486.30600000000004
2022-12-08 12:16:35+00:00,486.30600000000004
2022-12-08 12:16:48+00:00,486.30600000000004
2022-12-08 12:16:59+00:00,486.30600000000004
2022-12-08 12:17:10+00:00,486.307
2022-12-08 12:17:22+00:00,486.30899999999997
2022-12-08 12:17:35+00:00,486.31100000000004
2022-12-08 12:17:46+00:00,486.313
2022-12-08 12:17:58+00:00,486.31399999999996
2022-12-08 12:18:10+00:00,486.31399999999996
2022-12-08 12:18:22+00:00,486.31399999999996
2022-12-08 12:18:34+00:00,486.31399999999996
2022-12-08 12:18:46+00:00,486.31399999999996
2022-12-08 12:18:58+00:00,486.31399999999996
2022-12-08 12:19:10+00:00,486.31399999999996
2022-12-08 12:19:21+00:00,486.31399999999996
2022-12-08 12:19:33+00:00,486.31399999999996
2022-12-08 12:19:45+00:00,486.31399999999996
2022-12-08 12:19:57+00:00,486.31399999999996
2022-12-08 12:20:09+00:00,486.31399999999996
2022-12-08 12:20:21+00:00,486.31399999999996
2022-12-08 12:20:33+00:00,486.31399999999996
2022-12-08 12:20:45+00:00,486.31399999999996
2022-12-08 12:20:57+00:00,486.31399999999996
2022-12-08 12:21:09+00:00,486.31399999999996
2022-12-08 12:21:21+00:00,486.31399999999996
2022-12-08 12:21:32+00:00,486.31399999999996
2022-12-08 12:21:44+00:00,486.31399999999996
2022-12-08 12:21:56+00:00,486.31399999999996
