timestamp_utc,activity_label,consumption_m3_per_min,dishwasher_running,has_activity,occupied,total_m3,washing_machine_running,consumption_L_per_min
2022-11-09 00:00:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:01:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:02:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:03:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:04:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:05:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:06:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:07:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:08:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:09:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:10:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:11:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:12:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:13:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:14:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:15:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:16:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:17:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:18:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:19:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:20:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:21:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:22:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:23:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:24:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:25:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:26:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:27:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:28:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:29:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:30:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:31:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:32:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:33:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:34:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:35:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:36:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:37:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:38:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:39:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:40:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:41:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:42:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:43:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:44:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:45:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:46:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:47:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:48:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:49:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:50:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:51:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:52:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:53:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:54:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:55:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:56:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:57:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:58:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 00:59:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 01:00:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 01:01:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 01:02:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 01:03:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 01:04:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 01:05:00+00:00,,0.0,0,0,1,469.281,0,0.0
2022-11-09 01:06:00+00:00,,0.0,0,0,1,469.281,0,0.0
