activity,note,additional_note
2023-01-12 19:00:00+01:00,toilet flush,BAD OG
2023-01-12 19:06:00+01:00,toilet flush,BAD OG
2023-01-12 19:12:00+01:00,toilet flush,BAD OG
2023-01-12 19:18:00+01:00,toilet flush,BAD OG
2023-01-12 19:24:00+01:00,toilet flush,BAD OG
2023-01-12 19:30:00+01:00,toilet flush,BAD OG
2023-01-12 19:36:00+01:00,water tap (30sec),BAD OG
2023-01-12 19:42:00+01:00,water tap (30sec),BAD OG
2023-01-12 19:48:00+01:00,water tap (30sec),BAD OG
2023-01-12 19:54:00+01:00,water tap (30sec),BAD OG
2023-01-12 20:00:00+01:00,water tap (30sec),BAD OG
2023-01-12 20:06:00+01:00,toilet flush,WC EG
2023-01-12 20:12:00+01:00,toilet flush,WC EG
2023-01-12 20:18:00+01:00,toilet flush,WC EG
2023-01-12 20:24:00+01:00,toilet flush,WC EG
2023-01-12 20:30:00+01:00,toilet flush,WC EG
2023-01-12 20:36:00+01:00,water tap (30sec),KÜCHE
2023-01-12 20:42:00+01:00,water tap (30sec),KÜCHE
2023-01-12 20:48:00+01:00,water tap (30sec),KÜCHE
2023-01-12 20:54:00+01:00,water tap (30sec),KÜCHE
2023-01-12 21:00:00+01:00,water tap (30sec),KÜCHE
