time,total_m3
2023-01-12 17:55:02+00:00,201.583
2023-01-12 17:55:14+00:00,201.583
2023-01-12 17:55:27+00:00,201.583
2023-01-12 17:55:38+00:00,201.583
2023-01-12 17:55:51+00:00,201.583
2023-01-12 17:55:52+00:00,201.583
2023-01-12 17:56:01+00:00,201.583
2023-01-12 17:56:13+00:00,201.583
2023-01-12 17:56:25+00:00,201.583
2023-01-12 17:56:38+00:00,201.583
2023-01-12 17:56:49+00:00,201.583
2023-01-12 17:57:01+00:00,201.583
2023-01-12 17:57:13+00:00,201.583
2023-01-12 17:57:25+00:00,201.583
2023-01-12 17:57:37+00:00,201.583
2023-01-12 17:57:49+00:00,201.583
2023-01-12 17:58:01+00:00,201.583
2023-01-12 17:58:13+00:00,201.583
2023-01-12 17:58:25+00:00,201.583
2023-01-12 17:58:37+00:00,201.583
2023-01-12 17:58:48+00:00,201.583
2023-01-12 17:59:01+00:00,201.583
2023-01-12 17:59:12+00:00,201.583
2023-01-12 17:59:24+00:00,201.583
2023-01-12 17:59:36+00:00,201.583
2023-01-12 17:59:48+00:00,201.583
2023-01-12 18:00:00+00:00,201.583
2023-01-12 18:00:13+00:00,201.585
2023-01-12 18:00:24+00:00,201.586
2023-01-12 18:00:36+00:00,201.588
2023-01-12 18:00:48+00:00,201.589
2023-01-12 18:00:59+00:00,201.59
2023-01-12 18:01:11+00:00,201.59
2023-01-12 18:01:23+00:00,201.59
2023-01-12 18:01:35+00:00,201.59
2023-01-12 18:01:47+00:00,201.59
2023-01-12 18:01:59+00:00,201.59
2023-01-12 18:02:11+00:00,201.59
2023-01-12 18:02:23+00:00,201.59
2023-01-12 18:02:35+00:00,201.59
2023-01-12 18:02:46+00:00,201.59
2023-01-12 18:02:58+00:00,201.59
2023-01-12 18:03:10+00:00,201.59
2023-01-12 18:03:22+00:00,201.59
2023-01-12 18:03:34+00:00,201.59
2023-01-12 18:03:46+00:00,201.59
2023-01-12 18:03:57+00:00,201.59
2023-01-12 18:04:09+00:00,201.59
2023-01-12 18:04:21+00:00,201.59
2023-01-12 18:04:33+00:00,201.59
2023-01-12 18:04:45+00:00,201.59
2023-01-12 18:04:57+00:00,201.59
2023-01-12 18:05:09+00:00,201.59
2023-01-12 18:05:21+00:00,201.59
2023-01-12 18:05:32+00:00,201.59
2023-01-12 18:05:45+00:00,201.59
2023-01-12 18:05:56+00:00,201.59
2023-01-12 18:06:08+00:00,201.59
2023-01-12 18:06:20+00:00,201.592
2023-01-12 18:06:32+00:00,201.594
2023-01-12 18:06:44+00:00,201.595
2023-01-12 18:06:56+00:00,201.596
2023-01-12 18:07:08+00:00,201.596
2023-01-12 18:07:19+00:00,201.596
2023-01-12 18:07:31+00:00,201.596
2023-01-12 18:07:43+00:00,201.596
2023-01-12 18:07:55+00:00,201.596
2023-01-12 18:08:07+00:00,201.596
2023-01-12 18:08:19+00:00,201.596
2023-01-12 18:08:30+00:00,201.596
2023-01-12 18:08:42+00:00,201.596
2023-01-12 18:08:54+00:00,201.596
2023-01-12 18:09:06+00:00,201.596
2023-01-12 18:09:18+00:00,201.596
2023-01-12 18:09:30+00:00,201.596
2023-01-12 18:09:42+00:00,201.596
2023-01-12 18:09:53+00:00,201.596
2023-01-12 18:10:06+00:00,201.596
