absent_from,absent_to,dishwasher,washing_machine
2022-11-09 10:44:00+01:00,2022-11-09 16:14:00+01:00,True,True
2022-11-10 10:44:00+01:00,2022-11-10 12:15:00+01:00,False,False
2022-11-10 13:18:00+01:00,2022-11-10 13:38:00+01:00,False,False
2022-11-11 18:40:00+01:00,2022-11-11 20:11:00+01:00,False,False
2022-11-13 15:25:00+01:00,2022-11-13 16:51:00+01:00,False,False
2022-11-14 12:30:00+01:00,2022-11-14 15:38:00+01:00,True,False
2022-11-15 10:30:00+01:00,2022-11-15 11:34:00+01:00,False,True
2022-11-15 13:26:00+01:00,2022-11-15 16:10:00+01:00,False,False
2022-11-16 11:00:00+01:00,2022-11-16 12:03:00+01:00,False,False
2022-11-18 09:29:00+01:00,2022-11-18 12:50:00+01:00,False,False
2022-11-21 09:46:00+01:00,2022-11-21 11:05:00+01:00,True,True
2022-11-26 17:38:00+01:00,2022-11-26 22:42:00+01:00,False,False
2022-11-28 10:53:00+01:00,2022-11-28 14:09:00+01:00,False,True
2022-11-29 08:50:00+01:00,2022-11-29 16:10:00+01:00,True,True
2022-11-30 10:00:00+01:00,2022-11-30 12:22:00+01:00,False,True
2022-12-01 11:56:00+01:00,2022-12-01 15:40:00+01:00,False,False
2022-12-07 14:00:00+01:00,2022-12-07 16:02:00+01:00,False,False
2022-12-13 09:00:00+01:00,2022-12-13 16:00:00+01:00,True,False
2022-12-14 10:45:00+01:00,2022-12-14 16:00:00+01:00,False,False
2022-12-15 10:45:00+01:00,2022-12-15 16:15:00+01:00,False,False
