activity,note,additional_note
2022-11-28 15:09:00+01:00,toilet flush,BAD OG
2022-11-28 15:15:00+01:00,toilet flush,BAD OG
2022-11-28 15:20:00+01:00,toilet flush,BAD OG
2022-11-28 15:25:00+01:00,toilet flush,BAD OG
2022-11-28 15:31:00+01:00,toilet flush,BAD OG
2022-11-28 15:36:00+01:00,water tap (30sec),BAD OG
2022-11-28 15:42:00+01:00,water tap (30sec),BAD OG
2022-11-28 15:47:00+01:00,water tap (30sec),BAD OG
